Date,Open,High,Low,Close,Adj Close,Volume
2014-01-02,19.940001,19.968000,19.701000,19.898500,19.898500,42756000
2014-01-03,19.914499,20.135500,19.811001,19.822001,19.822001,44204000
2014-01-06,19.792500,19.850000,19.421000,19.681499,19.681499,63412000
2014-01-07,19.752001,19.923500,19.714500,19.901501,19.901501,38320000
2014-01-08,19.923500,20.150000,19.802000,20.096001,20.096001,46330000
2014-01-09,20.185499,20.344500,19.922001,20.050501,20.050501,42060000
2014-01-10,20.126499,20.188000,19.690001,19.882999,19.882999,53590000
2014-01-13,19.899000,19.989000,19.422501,19.549000,19.549000,56898000
2014-01-14,19.606501,19.931499,19.564501,19.877001,19.877001,46802000
2014-01-15,19.947001,19.965500,19.626499,19.793501,19.793501,53566000
2014-01-16,19.684000,19.964500,19.470501,19.790001,19.790001,52024000
2014-01-17,19.712999,20.174500,19.683001,19.980499,19.980499,90102000
2014-01-21,20.150000,20.389999,20.080000,20.352501,20.352501,62442000
2014-01-22,20.400000,20.403000,20.100000,20.226999,20.226999,41210000
2014-01-23,20.049999,20.308500,19.889500,19.993500,19.993500,60508000
2014-01-24,19.908001,20.010000,19.363501,19.379999,19.379999,89168000
2014-01-27,19.525000,19.705000,19.024500,19.313999,19.313999,78736000
2014-01-28,19.370001,19.737000,19.356001,19.721500,19.721500,57890000
2014-01-29,19.608000,19.642500,19.162001,19.209999,19.209999,67646000
2014-01-30,19.688499,20.312500,19.385000,20.150499,20.150499,209478000
2014-01-31,18.587999,18.772499,17.888000,17.934500,17.934500,323096000
2014-02-03,17.948999,18.042500,17.004999,17.307501,17.307501,205616000
2014-02-04,17.479500,17.700001,17.201000,17.397499,17.397499,96258000
2014-02-05,17.299999,17.468500,16.886499,17.322500,17.322500,88708000
2014-02-06,17.370001,17.740999,17.370001,17.729500,17.729500,66714000
2014-02-07,17.948999,18.090000,17.624500,18.054001,18.054001,86610000
2014-02-10,18.080500,18.250000,17.967501,18.043501,18.043501,68994000
2014-02-11,18.091999,18.180500,17.812500,18.089500,18.089500,64442000
2014-02-12,17.821501,17.887501,17.316000,17.462500,17.462500,131754000
2014-02-13,17.385000,17.860001,17.325001,17.860001,17.860001,83500000
2014-02-14,17.966999,17.966999,17.667500,17.867500,17.867500,70404000
2014-02-18,17.764000,17.786501,17.472500,17.682501,17.682501,99960000
2014-02-19,17.632000,17.726999,17.305000,17.368999,17.368999,83362000
2014-02-20,17.440001,17.523001,17.219000,17.490000,17.490000,69856000
2014-02-21,17.622000,17.707001,17.337500,17.337999,17.337999,84200000
2014-02-24,17.259501,17.650000,17.164499,17.589001,17.589001,72894000
2014-02-25,17.650000,18.054001,17.579000,17.916000,17.916000,74728000
2014-02-26,17.993000,18.237499,17.858500,17.990000,17.990000,72442000
2014-02-27,17.861000,18.029499,17.775000,18.006500,18.006500,62098000
2014-02-28,18.030001,18.293501,17.854000,18.105000,18.105000,77640000
2014-03-03,17.937000,18.048000,17.724001,17.989000,17.989000,55966000
2014-03-04,18.195000,18.284000,18.122999,18.195000,18.195000,54088000
2014-03-05,18.206499,18.636499,18.195000,18.618500,18.618500,76966000
2014-03-06,18.702499,18.766500,18.445000,18.608000,18.608000,58532000
2014-03-07,18.729000,18.749500,18.476500,18.603001,18.603001,45596000
2014-03-10,18.634501,18.636499,18.350000,18.526501,18.526501,42116000
2014-03-11,18.549500,18.639999,18.364000,18.441000,18.441000,44922000
